dataset,split,classifier,fold,y_actual,y_pred,y_proba
Ottawa,StratifiedKfold,CNN,1,"['H' 'H' 'O' 'I' 'O' 'H' 'O' 'H' 'O' 'O' 'O' 'O' 'H' 'H' 'H' 'I' 'O' 'H'
 'I' 'I' 'O' 'H' 'O' 'I' 'H' 'H' 'O' 'H' 'I' 'H' 'O' 'O' 'H' 'I' 'O' 'I'
 'H' 'H' 'O' 'H' 'H' 'H' 'I' 'H' 'H' 'O' 'H' 'I' 'I' 'H' 'I' 'I' 'I' 'I'
 'O' 'H' 'I' 'H' 'O' 'O' 'H' 'H' 'I' 'O' 'H' 'I' 'I' 'O' 'I' 'H' 'H' 'H'
 'O' 'H' 'O' 'O' 'I' 'O' 'I' 'I' 'I' 'I' 'I' 'O' 'O' 'H' 'O' 'I' 'O' 'O'
 'H' 'I' 'O' 'I' 'I' 'O' 'O' 'I' 'I' 'H' 'O' 'O' 'H' 'O' 'O' 'O' 'I' 'I'
 'H' 'H' 'O' 'I' 'I' 'I' 'I' 'I' 'I' 'I' 'I' 'I' 'H' 'O' 'H' 'I' 'O' 'I'
 'O' 'I' 'O' 'O' 'O' 'O' 'O' 'I' 'O' 'H' 'H' 'I' 'O' 'O' 'I' 'O' 'H' 'O'
 'H' 'I' 'H' 'O' 'I' 'O' 'O' 'H' 'H' 'H' 'I' 'H' 'O' 'I' 'H' 'I' 'H' 'I'
 'O' 'H' 'H' 'H' 'H' 'H' 'I' 'I' 'O' 'H' 'H' 'O' 'H' 'O' 'H' 'I' 'H' 'O'
 'I' 'O' 'I' 'H' 'O' 'O' 'O' 'H' 'H' 'O' 'O' 'H' 'O' 'O' 'O' 'I' 'I' 'H'
 'I' 'O' 'I' 'H' 'O' 'I' 'O' 'O' 'I' 'I' 'H' 'H' 'H' 'I' 'O' 'O' 'H' 'O'
 'O' 'I' 'O' 'I' 'O' 'H' 'O' 'I' 'O' 'I' 'I' 'I' 'I' 'I' 'I' 'H' 'O' 'H'
 'I' 'I' 'I' 'H' 'H' 'O' 'O' 'H' 'I' 'O' 'H' 'I' 'H' 'H' 'O' 'I' 'O' 'H'
 'O' 'H' 'I' 'I' 'I' 'I' 'H' 'H' 'H' 'H' 'I' 'O' 'O' 'O' 'I' 'I' 'I' 'O'
 'I' 'O' 'I' 'H' 'I' 'H' 'I' 'O' 'I' 'O' 'H' 'O' 'H' 'I' 'O' 'I' 'I' 'I'
 'H' 'O' 'I' 'O' 'O' 'O' 'O' 'O' 'H' 'I' 'O' 'O' 'H' 'H' 'H' 'I' 'O' 'O'
 'H' 'I' 'H' 'O' 'I' 'H' 'I' 'I' 'O' 'O' 'H' 'H' 'I' 'H' 'O' 'O' 'I' 'H'
 'O' 'H' 'O' 'O' 'I' 'O' 'O' 'H' 'H' 'I' 'I' 'H' 'H' 'I' 'H' 'I' 'O' 'I'
 'O' 'H' 'H' 'H' 'I' 'O' 'I' 'O' 'I' 'H' 'H' 'I' 'H' 'H' 'H' 'O' 'H' 'I'
 'H' 'O' 'O' 'H' 'O' 'H' 'H' 'I' 'H' 'H' 'I' 'I' 'O' 'I' 'I' 'I' 'I' 'I'
 'I' 'H' 'O' 'I' 'I' 'O' 'O' 'I' 'I' 'H' 'O' 'I' 'H' 'I' 'H' 'O' 'H' 'I'
 'I' 'H' 'H' 'I' 'I' 'I' 'I' 'H' 'O' 'O' 'I' 'O' 'I' 'H' 'O' 'O' 'O' 'O'
 'I' 'H' 'O' 'I' 'H' 'H' 'I' 'I' 'H' 'I' 'I' 'O' 'H' 'O' 'I' 'I' 'I' 'I'
 'I' 'O' 'I' 'O' 'I' 'H' 'O' 'H' 'I' 'I' 'H' 'I' 'H' 'O' 'I' 'O' 'O' 'O'
